,investor,dealyear,totalUSD,counttotal,greenUSD,countgreen,brownUSD,countbrown,signatory,treatment,country,region,yearest,strategy,capsources,historicfunds,activeyears,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
134,2020 Ventures,2017,3.666666667,1,0,0,0,0,0,0,US,North America,2009,Venture Capital,Balance Sheet,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
135,2020 Ventures,2018,0.1,1,0,0,0,0,0,0,US,North America,2009,Venture Capital,Balance Sheet,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
136,2020 Ventures,2019,2.170833333,3,0,0,0,0,0,0,US,North America,2009,Venture Capital,Balance Sheet,,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137,21 Concordia,2014,0,2,0,0,0,0,0,0,Poland,Europe,2011,Buyout,Private Equity Funds,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
138,21 Concordia,2016,0,2,0,0,0,0,0,0,Poland,Europe,2011,Buyout,Private Equity Funds,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
139,21 Concordia,2017,0,1,0,0,0,0,0,0,Poland,Europe,2011,Buyout,Private Equity Funds,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
140,21 Concordia,2018,0,2,0,0,0,0,0,0,Poland,Europe,2011,Buyout,Private Equity Funds,,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
141,21 Invest,2000,0,1,0,0,0,0,1,0,France,Europe,1992,Buyout,Private Equity Funds,"1,641.03",20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,21 Invest,2001,0,2,0,0,0,0,1,0,France,Europe,1992,Buyout,Private Equity Funds,"1,641.03",20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,21 Invest,2002,0,2,0,0,0,0,1,0,France,Europe,1992,Buyout,Private Equity Funds,"1,641.03",20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,21 Invest,2003,36.97333333,5,0,0,0,0,1,0,France,Europe,1992,Buyout,Private Equity Funds,"1,641.03",20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,21 Invest,2004,12.885,4,0,0,0,0,1,0,France,Europe,1992,Buyout,Private Equity Funds,"1,641.03",20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,21 Invest,2005,48.63,5,0,0,0,0,1,0,France,Europe,1992,Buyout,Private Equity Funds,"1,641.03",20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,21 Invest,2006,245.99,9,0,0,0,0,1,0,France,Europe,1992,Buyout,Private Equity Funds,"1,641.03",20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
148,21 Invest,2007,0,9,0,0,0,0,1,0,France,Europe,1992,Buyout,Private Equity Funds,"1,641.03",20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
149,21 Invest,2008,222.97,12,0,0,0,0,1,0,France,Europe,1992,Buyout,Private Equity Funds,"1,641.03",20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
150,21 Invest,2009,392.15,5,0,0,0,0,1,0,France,Europe,1992,Buyout,Private Equity Funds,"1,641.03",20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
151,21 Invest,2010,39.215,2,0,0,0,0,1,1,France,Europe,1992,Buyout,Private Equity Funds,"1,641.03",20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
152,21 Invest,2011,56.02,6,0,0,0,0,1,1,France,Europe,1992,Buyout,Private Equity Funds,"1,641.03",20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
153,21 Invest,2012,0,4,0,0,0,0,1,1,France,Europe,1992,Buyout,Private Equity Funds,"1,641.03",20,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
154,21 Invest,2013,0,3,0,0,0,0,1,1,France,Europe,1992,Buyout,Private Equity Funds,"1,641.03",20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
155,21 Invest,2014,22.41,4,0,0,0,0,1,1,France,Europe,1992,Buyout,Private Equity Funds,"1,641.03",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
156,21 Invest,2015,0,7,0,0,0,0,1,1,France,Europe,1992,Buyout,Private Equity Funds,"1,641.03",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
157,21 Invest,2016,7.843333333,5,0,0,0,0,1,1,France,Europe,1992,Buyout,Private Equity Funds,"1,641.03",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
158,21 Invest,2017,0,5,0,0,0,0,1,1,France,Europe,1992,Buyout,Private Equity Funds,"1,641.03",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
159,21 Invest,2018,72.83,5,0,0,0,0,1,1,France,Europe,1992,Buyout,Private Equity Funds,"1,641.03",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
160,21 Invest,2019,0,5,0,0,0,0,1,1,France,Europe,1992,Buyout,Private Equity Funds,"1,641.03",20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
